Ulasan
"Ukurannya pas, bajunya. bagus, tidakpanas"
"Ukurannya pas, bajunya bagus, tidak panas"
QC mesti ditinggkatkan
"Kaku banget bahannya. Gak bisa diangkat tangan satu dari bagian atas topi.
Fedora harusnya gak sekaku dan sekeras ini"
"Baguuus, terimakasiih.. 😍"
Ukurannya pas
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
"recommended product, bahan ok, packaging ok. appreciate kali ini kurir si cepat tdk mengecewakan"
Mantapppp
"nice shipment, thankyou"
"mendarat selamat, terimakasih"
Ukurannya pas
bahannya enak dan fit
Karena slimfi ukurannya jadi kurang pas harusnya beli nyan oversize tp dr bahan oke bgt dan puas beli disini
"Barang sampai lebih cepat dari estimasi kualitas produk sangat baik ukuran pas dan nyaman dipakai 
Terimakasih"
Size ga sesuai tabel. Jadi ga kepake :(
"Jelek, peniti nya kurang nempel baru beli udah copot"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
👍
Tinggi badan 171 - 180 cm  Berat badan > 80 kg
"Bahan OK, Jahitan Rapih. Overall Good"
kualitas sesuai harga.pengiriman asal di bungkus kaos kaki tidak di masukkan ke dusnya dan dusnya penyok sehingga jika di kasih ke org tidak layak. kaos kakinya jg tidak... 
just good
"tinggi 176 bb 77 ukuran 34 pas dipinggang, agak kegedean diujung bawah mata kaki. overall barangnya worth it"
"Ukurannya pas, nyaman dipake kemana mana, bahannya adem abisss kerennnn"
passs
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg
Yaa ada harga ada barang lah..tak bisa ngeluh utk harga segitu
Ukurannya pas
Ukurannya pas
"nice , cuma untuk tinggi badan 173 bb 91 xl terlalu sempit, untung bisa di tukar"
"Kancing berbeda dengan model foto,leher terlalu sempit tdk bsa dikancing"
Oke
barang tidak sesuai deskripsi
Ukurannya pas Ukurannya terlalu besar Ukurannya terlalu kecil Tinggi badan 160 - 170 cm
"Barang sesuai dan dikasih bonus sisir, sip lah 👍"
mantep banget
"Modelnya oke, ukuran pas.. ad komitmen eco friendly jg"
"Ukurannya pas,semoga awet"
"Ukuran XXXL nya kecil, saran size ditambahkan lg untuk 4XL dan 5XL"
Warnanya unik. Bagus keren modelnya. Ukuran harus tambah dua dari normalnya
Cukup keren modelnya. Gak kecewa. Memang harus tambah dua ukurannya
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
Mantappp bagus 👍👍
Cool
Cool
Cool
Cool
mantap
"barang bagus, maka saya beli lagi"
Ukurannya terlalu kecil Ukurannya pas Ukurannya terlalu besar Tinggi badan > 180 cm Tinggi badan 171 - 180 cm Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Berat... 
mantap
bahan terlalu tipis
Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan 171 - 180 cm
"ukuran pas, bahan bagus"
"ukuran pas, bahan bagus"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
Ukurannya pas
"Ukurannya pas Tinggi badan 171 - 180 cm, sudah sering beli, kualitas bagus"
Ukurannya pas
Ukurannya pas
"ukurannya pas buat bb 78 dan tb 169, bahannya adem dan strech banget jd ga khawatir robek xixiiz"
"bahannya adem, pas di saya yg bb 78 tb 169"
"kurang pas ukurannya, fitmentnya juga ngga bagus"
"kurang sesuai ukurannya, fitmentnya juga kurang bagus"
"Ukurannya pas, nice"
lapisan kantong ya pada bolong... ga ke jahit.... tolong sebelum di kirim di cek dlu kondisi daleman ya....
"Oke
tapi kurir tidak oke, pakai 1 hari tetap 2 hari padahal hanya dari Jakarta ke Tangerang."
lobang kancing pd blum di lobangi... sisa benang jahitan blum rapi di buang...
Celana panjang chino slim fit big size. Bahan bagus. Nyaman dipakai. Semoga awet. Thanks
Celana panjang chino slim fit big size. Bahannya bagus. Nyaman dipakai. Thanks gan
"tulisannya slimfit scretch, trnyata nggak sama sekali, mengecewakan"
"bajuny oke banget, utk harga segitu melebihi ekspektasi. ukurannya sesuai"
"ikat pinggang retak retak, dan mau putus"
Ukurannya pas..bahan ok..terima kasih tokopedia
Tb 172 BB 75 cocok pakai xl
ukuran pas buat istri ternyata pencet yg buat cewe
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
Ukurannya pas Berat badan > 80 kg Tinggi badan 171 - 180 cm
Ukurannya pas Berat badan > 80 kg
"Ukurannya pas untuk Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg, cma yang dateng malah cream padahal pas di wa suruh ganti warna ada juga yang warna coklat :') t... "
sesuai harapan
ok
Jahitan agak kurang rapi di beberapa bagia. Bagia lubang kacing ngga dibolongin kl buat saya kurang praktis
Kecil utk size XL. Bahan tipis dan lengan agak sempit
"bahan bagus untuk harga sgitu, namun kancing copot Pas sampai Dan kantong celana Kiri Kanan tidak bolong."
Ukurannya pas
Sabuk terlalu tebal sehingga sulit dilonggarkan. Untung belum di tes pakai.
"bahannya bagus, penjepit juga cukup kuat, kualitas tali karet juga oke, cukup tebal"
"Ukurannya pas, Tinggi badan 171 - 180 cm"
barang harua diakui bagus. capitnya ngegigit kokoh. tapi pengirimannya molor dari yg dijanjikan. silahkan pihak penjual koordinasi lg dgn kurir.
Ukurannya pas
"Ini sepertinya skinny ya potongannya, bukan slim fit yang ga terlalu nempel"
"Oke, passs"
model standar pada umumnya. bahan masih kurang menyerap keringat. kurang lembut.
"Selalu order disni. Ukuran selalu pas
Terima kasih Seller"
"kain halus,motif bagus"
"aku puas, saya beli 1 lagi"
pesanan barang sudah tiba.. pas dipakai.
"Sebelumya sempet beli yg celana chino itu bagus, sayangnya yg jeans agak krg, jahitan g rapi, ada yg kantongnya malah kejahit, resleting harus dijahit ulang dll"
Ukurannya pas
Ukurannya pas
"warna dan bahan nya
tapi jujur bingung mau di model gmna nih.blum ngerti"
"Pembelian ketiga,, belum dicek semoga pas,, dan sesuai, semoga awet dan terima kasih seller."
mantab kaos dingin dan barang mendarat dngan selamat enak di pakai kaosnya Ukurannya pas
Ukurannya pas Ukurannya terlalu besar Tinggi badan 160 - 170 cm Tinggi badan 171 - 180 cm
"ukuran XL nya kurang besar, seperti size L"
Oke
Oke
tidak sesuai foto/deskripsi (tidak ada motif)
bahan tipis
bahan tipis
ukuran pas nyaman dipake
"warnanya agak beda sama yang dikatalog but overall oke sih , sama dapat sisir"
Jahitan gak rapi
Ukurannya pas Ukurannya terlalu kecil Ukurannya terlalu besar Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg Tinggi b... 
👍
"Ukurannya pas, bahannya lumayan ga bikin gatel."
Mantap
"Mantap! Ukurannya pas untuk tinggi badan saya, 172 cm BB 45 kg. ga perlu vermak sama sekali. Bahannya nyaman untuk banyak gerak (kerja lapangan) karena cukup elastis dan... "
Ukurannya pas
"Udahlah, udah beberapa kali beli disini. Bahannya enak, melarnya pas gak berasa ngejambak ke kulit. Untuk ukuran bigsize juga pas, gak kepanjangan. Selalu puas beli disin... "
"Udahlah, udah beberapa kali beli disini. Bahannya enak, melarnya pas gak berasa ngejambak ke kulit. Untuk ukuran bigsize juga pas, gak kepanjangan. Selalu puas beli disin... "
"Udahlah, udah beberapa kali beli disini. Bahannya enak, melarnya pas gak berasa ngejambak ke kulit. Untuk ukuran bigsize juga pas, gak kepanjangan. Selalu puas beli disin... "
"Udahlah, udah beberapa kali beli disini. Bahannya enak, melarnya pas gak berasa ngejambak ke kulit. Untuk ukuran bigsize juga pas, gak kepanjangan. Selalu puas beli disin... "
Ukurannya pas Berat badan < 60 kg
"respon seller cepat dan baik, barang sesuai deskripsi dan kualitas baik, pengiriman cepat dan packing aman"
"respon seller cepat dan baik, barang sesuai deskripsi dan kualitas baik, pengiriman cepat dan packing aman"
"udah oke ini bagus, bahan dan materialnya juga oke"
Tidak sesuai
"Packing ok, Respon seller OK Ukurannya pas"
sesuai dengan harga
oke nyaman dipakai thank you 👍👍
barang cepat sampai dan aman sampai tujuan
Ukurannya terlalu besar  Berat badan 60 - 70 kg
Barang sesuai deskripsi. Tq seller.
"cepet banget, baru beli kemaren sore tadi pagi udah sampe. celananya bagus. ukuran sesuai. makasi ya."
keren
"pesan warna navy yg dtng hitam, pengiriman cepat..."
Tinggi badan 160 - 170 cm Ukurannya pas
"Ukurannya pas, tinggi badan 160 - 170 cm, berat badan 60 - 70 kg"
Ukurannya pas Ukurannya terlalu kecil Tinggi badan < 160 cm Ukurannya terlalu besar Tinggi badan 171 - 180 cm Tinggi badan 160 - 170 cm
"Jajhahahhabcgsmd 
$1771$383"
Yg item bahan tipis
bahan bagus. pola tangan nya hrs diperbaiki.sukses slalu
"Size pas sesuai,, cuma bahannya tipis,"
Tidak ada lobang kancing celana
Tidak ada lobang kancing celana
bisa buat sabet bocah bader
bagus bisa jepit *****
Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg
good bagus
size 30 ; Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg
"bahan keren dan bagus, kelihatan premium bahannya. ukurannya mantep. puassss deh pokoknya
ukuran 43 buat berat 93 kg mantep pas ukurannya"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
Ukurannya pas
Ukurannya pas  Tinggi badan < 160 cm Berat badan < 60 kg
"bagus, tp sayang rantainya kurang warna gold, kurang kinclong, lebih kyk perunggu gt. tp okelah gpp, mungkin jika ditulis gold, serantai-rantainya dicat gold juga. thank... "
"bgus enak, tapi bulu bekas benang putih agak ganggu masih nmpel"
jahitan mudah putus fitmen kurang leluasa padahal ukuran pas
"Navy tp lebih ke arah hitam, ralat ternyata warna hitam beneran. Lain kali sebelum kirim dinpastikan dlu"
"Ukurannya pas, responnya cepet padahal beli weekend. thenkkyu gan"
tidak sesuai dg orderan
"Pesan biru gelap, tapi yang datang hitam"
Ukurannya pas
"cuttingannya pas, bahannya juga bagus, ga kaku dan nyaman dipakai buat sehari2 maupun dipakai buat kerja
terimakasih :)"
Celana kerja slim fit big size 38. Bahan adem. Fitting pas. Puas banget
"bahan bagus, jahitan juga rapi, tapi sayang, lipatan bawah kiri-kanan ada yg tidak terkait, mohon lebih teliti aja lagi QC nya...Ukurannya pas Tinggi badan 171 - 180 cm B... "
"Ukurannya pas, benar seperti yg tercantum lebih baik baik 1 size jika tidak ingin terlalu sesak. overall kualitas sangat sesuai dengan harga"
Ukurannya pas Tinggi badan < 160 cm Tinggi badan 160 - 170 cm Tinggi badan 171 - 180 cm Berat badan < 60 kg
Ukurannya pas
mantapp
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
Biasa uk 34… tapi ini di L ga cukup 😑
barang sesuai di foto dan deskripsi
bahan adem sesuai deskripsi
Ukurannya pas
Ukurannya pas
Ukurannya pas
Ukurannya pas
"kebetulan ukuran sesuai, next order lagi"
lumayan................................................................... ...........
Ukurannya pas
"bagus, tebel juga dasinya"
Mantap!
Tinggi badan > 180 cm
"bagus, recomend"
"bagus , recomend"
Ukurannya terlalu kecil
"ukuran pas, nyaman dipakai"
Keren bangetttt
Ukurannya pas Tinggi badan 160 - 170 cm
"Barang bagus, tapi sayang pengirimannya lama, saran saya jangan pake ekspedisi si cepat."
"Bahan bagus tebal, info seller walau ukuran kurang sesuai tapi bisa ditukar di toko."
"Pengiriman lama banget, dari order di hari kerja sampai pengiriman butuh 4 hari. pengiriman butuh 2 hari. 

celana bahan enak sih, tapi sempit bro. biasa pakai merk lain... "
"Pengiriman lama banget, dari order di hari kerja sampai pengiriman butuh 4 hari. pengiriman butuh 2 hari. 

celana bahan enak sih, tapi sempit bro. biasa pakai merk lain... "
"Pengiriman lama banget, dari order di hari kerja sampai pengiriman butuh 4 hari. pengiriman butuh 2 hari. 

celana bahan enak sih, tapi sempit bro. biasa pakai merk lain... "
mantap sesuai
beda beda banget. pokoknya kurang pas deh
"Bahan agak sedikit panas (Sesuai dengan harga)
uk. XXL tapi serasa XL (mungkin toleransi ukuran harus double check lg) Berat badan > 80 kg"
Ukurannya terlalu kecil
Barang sudah sampi dan sudah dicoba pas terima ksih
"Potongan tidak sesuai dengan harapan saya tinggi 173 pesen ukuran L tp kependekan, barang sampai tidak tepat waktu"
"pengiriman cepat, bahan nyaman dipakai"
"bagus mantap
ukuran sesuai dengan. catatan semoga ada warna keren2 yang keren thx"
"bagus mantap
ukuran sesuai dengan. catatan semoga ada warna keren2 yang keren thx"
model dan bahannya enak dipakai. sesuai dengan deskripsi. semoga awet
Bahan mantap
model keren
cocok
Ukurannya pas Tinggi badan 171 - 180 cm
Ukurannya pas
"Panjang celananya pas, dr segi ukuran sebaiknya beli 1 atau ukuran diatas yg biasa dipakai karena sy beli ukuran 43 hampir sama dengan ukuran celana 41 yg biasa sy pakai"
"Panjang celananya pas tidak perlu lg dipotong d tukang jahit, dr segi ukuran sebaiknya beli 1 atau 2 ukuran diatas yg biasa dipakai karena sy beli ukuran 43 hampir sama d... "
kualitas bagian ikat pinggangnya bagus cuman kulit bagian kepala tipis sepertinya bakal cepat sobek seperti ikat pinggang yg saya beli sebelumnya
"Ukurannya pas Tinggi badan 171 - 180 cm
recomended beli disini"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
"Keren! Ukurannya pas.
hanya pengirimannya lama, pengirimannya pakai SiCepat, mungkin krna di daerah sya SiCepatnya sdh tutup. makanya lama."
"Keren! Ukurannya pas.
hanya pengirimannya lama, pengirimannya pakai SiCepat, mungkin krna di daerah sya SiCepatnya sdh tutup. makanya lama."
mantab👍👍👍
Produk yang dikirimkan sesuai dengan deskripsi yang ditampilkan oleh penjual dan penjual sangat ramah serta cepat dalam menangani pesanan
Produk yang dikirimkan sesuai dengan deskripsi yang ditampilkan oleh penjual dan penjual sangat ramah serta cepat dalam menangani pesanan
Produk yang dikirimkan sesuai dengan deskripsi yang ditampilkan oleh penjual dan penjual sangat ramah serta cepat dalam menangani pesanan
fantastico!
good quality
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
"modelnya keren.
bahan adem.

tapi ini dipake sekali sudah ada robek dibagian saku belakang.
gatau atau memang jenis bahan untuk chino seperti ini. mudah renggang gitu.
ta... "
Ukurannya pas
Ukurannya pas
Sesuai request Ukurannya pas
"Terimakasih, barang sdh sampai sesuai pesanan."
Ukurannya pas Tinggi badan 160 - 170 cm
cakep bahan oke sesuai ekspektasi. tidak rugi belinya
"sesuai harga, hehe"
Ukurannya terlalu kecil Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg but overal awesome. untung semi strech jadi ketatnya masih bisa dipake
pas aja
bahannya oke bagus
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
lumayan bagus.
barang sesuai dengan yangbditawarkann tapi jahitannya pengirimannya tepat waktu sampainya sesuai dengan pilihan kirim
jahitannya ga rapi
"mantaff pas. bahan ok, sukses untuk kita semua"
Ukurannya pas
Sungguh merugi. penyelesaian yg tetap merugikan konsumen. harus keluar tenaga dan biyaya lagi untuk antar barang retur ke tempat ekspedisi
dengan harga yg ditawarkan harusnya bisa jauh lebih bagus dgn kualitas yg diberikan
"Seperti biasa selalu memuaskan. 
Ukuran selalu sesuai dan bahan nyaman.
Harga masuk anggaran.
Berkali2 beli di house of cuff gak pernah kecewa.
Recomended pokoknya."
Ukurannya pas
"joss bahan nya alus bangett, jaitan rapih no komplen bintang 5++, packing cepet 🔥"
"agak tipis, over all ok, thx"
cakep keren Ukurannya pas Tinggi badan > 180 cm Berat badan > 80 kg
"As always, very good stuff"
Kualitas suit blazer dan celananya keren abis
"bagus, ternyata bahannya tipis."
"kantong celananya kecil, g bisa ngantongin hp besar. overall bagus"
"Bagus, pas di pakai, cuma di kancing nya ringkih ngeri gampang copot, semoga engga"
"Thanksss,,,"
"Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg.
bahan tebel terbaik lah dalam pengiriman keren banget pokok dpt bonus pula.
terbaik mantabbbbb"
lumayan...
"untuk ukuran pas, cuma untuk lubang kaki agak ngepres masuknya. saran sih agak digedein lg, overall oke dan suka."
mantul lah kaos kakinya
"Sesuai Deskripsi dan Pesanan

Harus di kecilin dikit kayanya bawahnya, Lumayan Strecth"
yg dateng biru donker
jahitannya gk kuat
tipis bgt
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan > 80 kg
bagus
Ukurannya pas
Ukurannya pas Tinggi badan < 160 cm
abis ini beli kokonya hehehe
"ukuran pas, bahannya adem sukses selalu"
"ukuran pas, bahannya adem sukses selalu"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg
saya tidak pengen merusak reputasi pemilik merchant. ketika baca report saya tolong segera chat saya pribadi untuk komplain saya. overall ga ada masalah karena packing lu... 
BAGUS BAHANNYA DAN KUALITASNYA
celana panjangnya sdh Dateng.  Ukurannya pas
"jahitan luar ga rapi, jahitan dalem lebih ga rapi lagi, lubang sabuk ga sama (ada yg kecil sampe gamasuk sabuknya)"
"Bahan'nya Enak dikulit,Adem dan Lembut ..
Respon sangat Baik, Tadi ada salah Checkout warna langsung dikasih tau sama kak seller'nya, kak Seller'nya Baik , Bi... "
Ok
baru beli langsung dipake masa jebol resleting nya
"Ukurannya pas, bahan bagus jahitan bisa lebih di rapikan lagi. Sayang warna yg di pesan gak ada, tapi komunikasi nya bagus"
okeoke
"Nah ini baru MANTAP.
Semua saku TIDAK JEBOL.
Jahitan rapi.
Ukuran hot."
"Barang sampai dengan aman, dan oke banget. cocok buat yang nyari size agak besar tapi selalu kekecilan pakai merk sebelah. recommended"
"Barang sampai dengan aman, dan oke banget. cocok buat yang nyari size agak besar tapi selalu kekecilan pakai merk sebelah. recommended"
Ukurannya pas
Ukurannya pas Tinggi badan 171 - 180 cm
"Respon cepat, bahannya adem, bagus, 👍👍👍👍👍👍"
"bagus, bertekstur elegan"
"bahannya nyaman, cuma agak gede dr size chart. ukuran L 51 tp actualnya 54. 😢"
Ukurannya pas
size chart ukurannya ngepas. untung lebihin 1 nomer. mantap
Ukurannya pas
ukurn nya pas. tapi ada sedikit jahitan yg kurang sempurna
"Dari 5 pasang yang saya order, hanya 1 yang sesuai dengan orderan saya. Kalau varian memang tidak tersedia, kenapa bisa di check out?? Kecewa dengan pelayanannya. Kalau k... "
"Dari 5 pasang yang saya order, hanya 1 yang sesuai dengan orderan saya. Kalau varian memang tidak tersedia, kenapa bisa di check out?? Kecewa dengan pelayanannya. Kalau k... "
"Dari 5 pasang yang saya order, hanya yang ini yang sesuai dengan orderan saya. Kalau varian memang tidak tersedia, kenapa bisa di check out?? Kecewa dengan pelayanannya.... "
"Dari 5 pasang yang saya order, hanya 1 yang sesuai dengan orderan saya. Kalau varian memang tidak tersedia, kenapa bisa di check out?? Kecewa dengan pelayanannya. Kalau k... "
"Dari 5 pasang yang saya order, hanya 1 yang sesuai dengan orderan saya. Kalau varian memang tidak tersedia, kenapa bisa di check out?? Kecewa dengan pelayanannya. Kalau k... "
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg
Ukurannya pas untuk Tinggi badan 160 - 170 cm
Ukurannya pas
"kaosny sesuai deskripsi dan adem,smoga awet"
okokokokokokkkok
Ukurannya pas
Ukurannya terlalu kecil
"Potongannya rapih, bahan halus"
"kancingnya terlalu besar, cardigan juga jahitannya kurang rapi..
utk harga 150 ribu sangat mahal, gak sebanding dgn kualitas"
Ukurannya pas Tinggi badan 171 - 180 cm Berat badan < 60 kg
"Barang bagus, harga murah, pengiriman cepat"
okeee thanksssss broo
"Ukurannya pas, sayang sablon tulisanya jelek"
Ukurannya pas
"Ukurannya pas Tinggi badan 165 - 170 cm, Berat badan 71 - 80 kg,Hijau Army nya bagus"
barang diterima doos sobek dan penyet itu topi jd lusuh
produk cukup bgs. saya pesan M kekecilan tp bisa ditukar. sellermya ramah dan responsif menanggapi proses penukaran. semoga size L yg dtg nanti pas di badan. terima kasih
barang sesuai harga
paket tiba dengan selamat di tempat tujuan
paket tiba dengan selamat di tempat tujuan
ok
warna yg dikirim hijau sdgkan pesan ya warna marun
Ukurannya pas
Ukurannya pas
"Barang Bagus & Alhamdulillah sudah sampe dengan baik Dan cepat sekali.
Makasih yaaa.
Semoga Berkah Aamiin YRA."
ukuran pas bahan nyamanantaapp
Ukurannya pas
"Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 60 - 70 kg, bagus namun di pembelian yang sebelumnya selang seminggu celananya langsung robek pas dicuci di mesin cuci... "
terimakasih
hmmm
pesanan nya susai cuma bahan nya tipis
pesanan nya pas cuma agak kaget aja bahan nya tipis
pesanan nya sesuai cuma kaos nya agak sedikit topis
mantap
mantap
"bahan berkualitas, jahitan rapih, ukuran pas dgn badan, warna sesuai...
cuma telat 2 hari sampai tujuan karena ekspedisinya lambat .. tp keseluruhan sangat memuaskan .."
Good
Ukurannya pas
"Sesuai gambar meski agak kebesaran untuk saya, hbs ga ada pilihan ukuran sih. Modelnya sih keren kyk bretel pistol para polisi👻"
👌🏻
"Walaupun agak kebesaran dgn ukuran kepala sy tp terimakasih byk seller, sy sdh mendptkan topi yg sy inginkan dgn harga flash sale😘🎉"
dah biasa beli disini.. 👍
"Ukurannya sesuai,  Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg"
Ukurannya pas
"barang sesuai deskripsi, bahan adem, fitting pas, delivery aman, recommended seller"
"Ukurannya pas, bahan agak tipis tapi adem.."
"ukuran pas, bahan cukup tebal, ukuran pas"
"bahan bagus, tebal, ukuran pas"
"bahan cukup tebal, desain kekinian, ukuran pas"
"bahan bagus, tebal, ukuran pas."
mantap bagus banget banyak bonus lagi
mantap 👍👍
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 71 - 80 kg
"Ukurannya pas, produk berkualitas, good ."
"Utk BB : 55, TB : 165 itu tidak cocok ukuran 30. Tapi barang puas"
"Ukuran nya pas,bahan bagus,pengiriman cepat dan Mimin nya baik bgt n response cepet banget. Recommend 🔥🔥Thank you  ⭐️⭐️⭐️⭐️⭐️"
"Ukuran nya real true size yah tambahin 1 size lbh enak bisa makan banyakk bebas 😂 tambahkan 1 size dan ternyata enak banget pake nya produk di toko ini bagus2 bahan nya,... "
Ukuran tidak cocok :(
"Ukurannya pas, bahanya lembut,, adem,,"
"Mantap kaosnya,  Ukurannya pas, bahannya jg bagus, looks very clean design"
Modelnya keren. Cocok untuk bergaya vintage.
Bhannya halus. Cocok untuk acara kondangan.
gasss
gasss
Bahan bagus kualitas ok next order lagi
Bahannya bagus. Gak keliatan murahan. Cocok untuk bergaya vintage
"Bonusan celananya size chart nya kureng pas, retur agak ruwet prosesnya.
Parfumnya oke wanginya."
"pas dibadan, warna sesuai dengan foto yg dipajang"
"belum dicoba sih, tapi bagus warnanya"
"barang bagus, sesuai gambar"
"barang sampai dengan aman, pengiriman cepat, plus dapet sisir, semoga awet, tq 🙏"
Ukurannya pas Tinggi badan 160 - 170 cm Berat badan < 60 kg
